entity,Negative,Neutral,Positive
Amazon,627,227,1422
ApexLegends,777,475,1101
AssassinsCreed,551,355,1328
Battlefield,1149,267,900
Borderlands,604,378,1298
CS-GO,665,400,1219
CallOfDuty,1003,322,1051
CallOfDutyBlackopsColdWar,933,517,893
Cyberpunk2077,654,467,1141
Dota2,813,429,1117
FIFA,1006,352,966
Facebook,1175,322,865
Fortnite,890,375,984
Google,874,328,1072
GrandTheftAuto(GTA),944,336,1013
Hearthstone,624,311,1351
HomeDepot,881,345,1066
LeagueOfLegends,709,507,1161
MaddenNFL,1045,488,844
Microsoft,798,473,1090
NBA2K,1079,444,820
Nvidia,727,447,1097
Overwatch,763,388,1165
PlayStation5(PS5),872,534,885
PlayerUnknownsBattlegrounds(PUBG),837,440,957
RedDeadRedemption(RDR),1400,287,562
TomClancysGhostRecon,824,454,1043
TomClancysRainbowSix,771,540,1053
Verizon,993,441,931
WorldOfCraft,602,468,1287
Xbox(Xseries),723,428,1132
johnson&johnson,1143,471,710
